project_name_csv,file_path_csv,project_and_file,touched_by,se_engineers,ml_engineers,hybrid_engineers,num_se_engineer,num_ml_engineer,num_hybrid_engineer,pct_se_engineer,pct_ml_engineer,pct_hybrid_engineer,loc,cc_avg,cc_max,py2_suspected,complexity_tool,bugs_introduced,bugfix_commits_touching_file,deadcode_items_attribute,deadcode_items_class,deadcode_items_function,deadcode_items_other,deadcode_items_property,deadcode_items_total,deadcode_items_variable,design_smell_broken_hierarchy,design_smell_broken_modularization,design_smell_deep_hierarchy,design_smell_deficient_encapsulation,design_smell_feature_envy,design_smell_hub_like_modularization,design_smell_insufficient_modularization,design_smell_multifaceted_abstraction,design_smell_rebellious_hierarchy,design_smell_wide_hierarchy,file_path,impl_smell_complex_conditional,impl_smell_complex_method,impl_smell_empty_catch_clause,impl_smell_long_identifier,impl_smell_long_lambda_function,impl_smell_long_message_chain,impl_smell_long_method,impl_smell_long_parameter_list,impl_smell_long_statement,impl_smell_magic_number,impl_smell_missing_default,mlsmell_broadcasting_feature_not_used,mlsmell_chain_indexing,mlsmell_columns_and_datatype_not_explicitly_set,mlsmell_dataframe_conversion_api_misused,mlsmell_deterministic_algorithm_option_not_used,mlsmell_empty_column_misinitialization,mlsmell_gradients_not_cleared,mlsmell_hyperparameters_not_explicitly_set,mlsmell_in_place_apis_misused,mlsmell_matrix_multiplication_api_misused,mlsmell_memory_not_freed,mlsmell_merge_api_parameter_not_explicitly_set,mlsmell_nan_equivalence_comparison_misused,mlsmell_pytorch_call_method_misused,mlsmell_tensor_array_not_used,mlsmell_unnecessary_iteration,project_name,vuln_bandit_issues_high,vuln_bandit_issues_low,vuln_bandit_issues_medium,vuln_bandit_issues_total,vuln_bandit_test_ids
AVAuco laeonet,datasets/parse_ava_laeo.py,AVAuco laeonet::datasets/parse_ava_laeo.py,['Manuel'],['Manuel'],[],[],1,0,0,1.0,0.0,0.0,37.0,2.0,2.0,True,lizard,0,0,17,2,29,12,0,80,20,0,3,0,9,0,0,0,3,0,0,datasets/parse_ava_laeo.py,1,24,0,8,0,0,9,17,176,412,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,AVAuco laeonet,0,0,0,0,0
AVAuco laeonet,laeonet-head-det-track/detector/__init__.py,AVAuco laeonet::laeonet-head-det-track/detector/__init__.py,['mjmarin'],[],[],['mjmarin'],0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,False,lizard,0,0,16,2,20,12,0,71,21,0,3,0,8,0,0,0,3,0,0,laeonet-head-det-track/detector/__init__.py,1,24,0,8,0,0,9,17,178,412,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,AVAuco laeonet,0,0,0,0,0
AVAuco laeonet,laeonet-head-det-track/detector/bounding_box_utils/__init__.py,AVAuco laeonet::laeonet-head-det-track/detector/bounding_box_utils/__init__.py,['mjmarin'],[],[],['mjmarin'],0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,False,lizard,0,0,16,2,20,12,0,71,21,0,3,0,8,0,0,0,3,0,0,laeonet-head-det-track/detector/bounding_box_utils/__init__.py,1,24,0,8,0,0,9,17,178,412,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,AVAuco laeonet,0,0,0,0,0
AVAuco laeonet,laeonet-head-det-track/detector/bounding_box_utils/bounding_box_utils.py,AVAuco laeonet::laeonet-head-det-track/detector/bounding_box_utils/bounding_box_utils.py,['mjmarin'],[],[],['mjmarin'],0,0,1,0.0,0.0,1.0,384.0,10.6,16.0,False,radon,0,0,16,2,20,12,0,71,21,0,3,0,8,0,0,0,3,0,0,laeonet-head-det-track/detector/bounding_box_utils/bounding_box_utils.py,1,24,0,8,0,0,9,17,178,412,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,AVAuco laeonet,0,0,0,0,0
AVAuco laeonet,laeonet-head-det-track/detector/keras_layers/__init__.py,AVAuco laeonet::laeonet-head-det-track/detector/keras_layers/__init__.py,['mjmarin'],[],[],['mjmarin'],0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,False,lizard,0,0,16,2,20,12,0,71,21,0,3,0,8,0,0,0,3,0,0,laeonet-head-det-track/detector/keras_layers/__init__.py,1,24,0,8,0,0,9,17,178,412,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,AVAuco laeonet,0,0,0,0,0
AVAuco laeonet,laeonet-head-det-track/detector/keras_layers/keras_layer_AnchorBoxes.py,AVAuco laeonet::laeonet-head-det-track/detector/keras_layers/keras_layer_AnchorBoxes.py,['mjmarin'],[],[],['mjmarin'],0,0,1,0.0,0.0,1.0,279.0,6.166666666666667,17.0,False,radon,0,0,16,2,20,12,0,71,21,0,3,0,8,0,0,0,3,0,0,laeonet-head-det-track/detector/keras_layers/keras_layer_AnchorBoxes.py,1,24,0,8,0,0,9,17,178,412,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,AVAuco laeonet,0,0,0,0,0
AVAuco laeonet,laeonet-head-det-track/detector/keras_layers/keras_layer_DecodeDetections.py,AVAuco laeonet::laeonet-head-det-track/detector/keras_layers/keras_layer_DecodeDetections.py,['mjmarin'],[],[],['mjmarin'],0,0,1,0.0,0.0,1.0,284.0,2.1666666666666665,6.0,False,radon,0,0,16,2,20,12,0,71,21,0,3,0,8,0,0,0,3,0,0,laeonet-head-det-track/detector/keras_layers/keras_layer_DecodeDetections.py,1,24,0,8,0,0,9,17,178,412,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,AVAuco laeonet,0,0,0,0,0
AVAuco laeonet,laeonet-head-det-track/detector/keras_layers/keras_layer_DecodeDetectionsFast.py,AVAuco laeonet::laeonet-head-det-track/detector/keras_layers/keras_layer_DecodeDetectionsFast.py,['mjmarin'],[],[],['mjmarin'],0,0,1,0.0,0.0,1.0,267.0,2.1666666666666665,6.0,False,radon,0,0,16,2,20,12,0,71,21,0,3,0,8,0,0,0,3,0,0,laeonet-head-det-track/detector/keras_layers/keras_layer_DecodeDetectionsFast.py,1,24,0,8,0,0,9,17,178,412,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,AVAuco laeonet,0,0,0,0,0
AVAuco laeonet,laeonet-head-det-track/detector/keras_layers/keras_layer_L2Normalization.py,AVAuco laeonet::laeonet-head-det-track/detector/keras_layers/keras_layer_L2Normalization.py,['mjmarin'],[],[],['mjmarin'],0,0,1,0.0,0.0,1.0,71.0,1.4,2.0,False,radon,0,0,16,2,20,12,0,71,21,0,3,0,8,0,0,0,3,0,0,laeonet-head-det-track/detector/keras_layers/keras_layer_L2Normalization.py,1,24,0,8,0,0,9,17,178,412,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,AVAuco laeonet,0,0,0,0,0
AVAuco laeonet,laeonet-head-det-track/detector/keras_loss_function/__init__.py,AVAuco laeonet::laeonet-head-det-track/detector/keras_loss_function/__init__.py,['mjmarin'],[],[],['mjmarin'],0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,False,lizard,0,0,16,2,20,12,0,71,21,0,3,0,8,0,0,0,3,0,0,laeonet-head-det-track/detector/keras_loss_function/__init__.py,1,24,0,8,0,0,9,17,178,412,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,AVAuco laeonet,0,0,0,0,0
